955,554,111,142
931,567,116,143
857,558,114,140
827,527,113,143
825,494,113,144
818,458,117,145
804,422,116,145
816,390,120,146
819,380,113,144
835,347,117,145
846,330,115,143
860,343,119,144
871,360,116,143
897,394,117,147
931,445,116,142
947,481,117,144
954,500,115,141
949,514,117,141
944,524,115,139
939,526,114,142
914,538,111,141
908,546,112,141
885,563,112,142
851,591,111,145
778,621,112,141
766,621,114,143
822,621,115,143
791,644,111,143
831,645,115,142
870,609,112,142
926,519,111,142
899,448,113,143
915,417,115,143
932,401,118,143
935,390,112,142
938,369,112,144
926,357,114,144
960,321,111,144
983,259,115,145
979,172,115,148
983,134,113,148
1014,91,112,148
1000,93,115,149
1007,112,118,147
1024,140,119,150
1046,178,115,145
1055,221,112,144
1067,231,116,142
1115,144,113,148
1145,81,115,149
1160,0,121,141
1115,21,122,155
1113,155,121,152
1124,228,119,152
1103,345,125,143
1059,383,121,143
1070,382,118,140
1066,378,112,140
1078,381,120,139
1125,378,119,139
1177,371,124,140
1176,369,117,144
1163,409,118,151
1112,454,114,147
1115,466,115,144
1132,482,123,146
1133,484,116,147
1158,460,121,147
1171,422,119,149
1167,367,119,147
1149,338,121,150
1071,351,122,150
1007,379,116,148
936,406,121,148
909,404,118,150
881,387,115,145
865,372,122,147
828,371,118,147
788,377,118,147
751,379,118,147
725,399,119,154
692,430,118,150
681,444,118,147
684,443,117,147
661,455,118,150
634,474,117,151
598,483,114,147
548,478,124,150
506,469,124,147
428,462,125,149
426,493,124,154
409,521,127,153
409,547,119,152
459,591,126,154
525,624,117,146
609,608,121,146
704,568,116,145
778,528,117,145
815,531,116,145
847,542,114,144
949,534,116,141
958,514,118,142
1002,499,116,143
1003,500,113,141
1053,491,113,141
1099,463,114,141
1144,429,116,142
1167,413,120,142
1245,386,118,143
1294,379,118,141
1337,382,122,143
1379,400,125,143
1391,427,129,144
1416,471,128,147
1417,524,121,143
1399,557,123,148
1395,586,123,145
1391,604,121,142
1392,606,123,145
1393,612,123,144
1372,625,125,143
1373,646,120,143
1357,658,123,142
1324,673,120,144
1286,682,121,145
1203,696,119,142
1200,708,116,141
1173,720,120,142
1099,731,117,143
978,764,118,142
963,776,117,144
927,787,114,143
904,774,116,142
901,726,116,141
898,673,114,142
876,621,116,142
883,541,109,142
891,483,115,142
891,423,109,142
905,347,115,143
789,311,118,144
747,291,122,147
738,291,111,148
657,328,112,151
598,359,119,148
567,375,118,151
551,382,121,148
535,360,117,149
520,335,121,149
508,309,115,150
536,259,121,153
519,200,118,153
488,173,123,154
413,181,115,157
313,227,126,156
367,228,118,154
376,216,131,156
301,205,141,156
354,202,123,154
437,204,118,152
502,226,123,152
553,247,141,149
654,288,118,147
777,313,123,142
907,279,116,146
971,224,124,144
1072,171,124,143
1209,163,130,143
1236,194,120,144
1311,202,121,142
1349,202,127,143
1396,207,127,145
1428,219,126,143
1421,237,126,138
1444,237,135,142
1487,229,136,143
1509,222,133,142
1530,210,136,142
1571,207,142,145
1577,222,136,146
1588,224,144,146
1680,230,141,146
1651,263,149,148
1664,332,146,147
1654,397,142,145
1646,489,143,146
1644,541,142,147
1650,573,141,144
1631,579,135,146
1601,595,130,146
1572,616,133,146
1552,657,130,149
1543,701,132,146
1539,730,130,146
1562,755,134,146
1576,776,135,146
1570,777,130,145
1559,774,129,147
1531,777,130,148
1494,789,127,148
1463,806,128,148
1448,813,126,149
1421,818,118,149
1392,801,124,149
1376,786,120,148
1350,770,123,150
1335,739,117,148
1308,695,121,145
1264,667,120,148
1241,662,124,148
1222,653,121,146
1173,621,116,146
1149,585,119,143
1106,535,117,144
1046,473,113,143
971,425,120,142
877,395,116,144
770,371,118,147
711,333,121,146
669,294,120,148
609,252,122,148
547,230,119,150
460,219,123,151
420,203,127,151
374,172,124,155
304,152,129,154
215,139,138,160
156,137,138,162
141,143,138,163
154,148,136,161
168,163,136,163
204,203,129,159
248,232,135,156
297,258,141,150
337,285,125,148
368,328,124,151
402,415,123,147
455,484,119,145
478,503,124,141
508,506,123,142
543,511,122,143
574,538,124,137
599,557,122,139
621,576,122,138
648,594,120,138
664,611,117,138
698,639,122,137
729,663,121,135
768,694,120,138
800,720,122,136
808,730,124,138
812,740,118,137
816,741,122,138
797,763,122,138
763,791,124,139
758,816,120,140
758,850,121,144
756,875,122,140
787,877,123,142
885,827,128,138
968,719,118,135
1002,653,113,140
1058,526,118,139
1082,421,117,136
1095,370,126,135
1122,347,126,137
1178,338,134,134
1258,368,130,141
1288,422,128,137
1340,462,127,141
1314,515,121,140
1328,551,121,141
1337,573,128,138
1339,584,120,142
1303,618,120,143
1261,675,116,145
1247,712,122,143
1264,744,120,142
1312,771,122,143
1342,800,123,142
1367,792,126,143
1402,764,126,146
1425,741,128,144
1472,681,133,144
1522,616,130,143
1621,506,134,140
1693,416,146,142
1678,345,141,145
1609,273,142,147
1629,247,144,150
1593,288,139,155
1569,369,137,156
1610,480,137,154
1707,556,145,159
1709,610,145,154
1712,623,150,155
1711,635,144,155
1644,645,144,157
1580,658,138,156
1557,662,138,153
1492,656,137,150
1411,641,119,148
1367,618,102,146
1328,584,123,146
1250,524,109,146
1215,490,117,146
1154,479,120,146
1107,482,116,147
1013,467,115,146
945,466,118,146
882,463,110,145
731,477,121,147
659,490,125,146
593,483,117,143
512,446,114,147
424,424,118,147
462,441,120,148
461,482,120,149
488,546,126,144
499,603,128,143
548,657,130,139
543,680,129,139
567,704,131,138
614,707,127,138
639,684,130,138
747,633,126,134
997,532,104,134
1086,448,132,134
1180,345,128,136
1245,304,130,139
1320,280,135,141
1399,275,144,141
1443,250,142,139
